"Curso","Módulo Profesional","Resultado de Aprendizaje","Criterios de Evaluación"
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","a) Se han identificado los elementos que componen los sistemas de seguridad y confortabilidad."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","b) Se ha identificado el funcionamiento de los sistemas de seguridad y confortabilidad según sus características."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","c) Se ha relacionado el uso de los fluidos utilizados en los sistemas de aire acondicionado y climatización con sus propiedades."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","d) Se han seleccionado las normas de utilización de los fluidos de aire acondicionado y climatización."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","e) Se han seleccionado las normas que hay que aplicar en el manejo, almacenamiento y seguridad de los equipos con dispositivos pirotécnicos."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","f) Se han realizado los esquemas de instalación de los sistemas de audiovisuales."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","g) Se han relacionado los parámetros de funcionamiento con los distintos sistemas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","1. Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece.","h) Se ha descrito el procedimiento que hay que utilizar en la recarga de datos y parámetros de funcionamiento de las centrales electrónicas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","a) Se ha identificado el elemento o sistema que presenta la disfunción."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","b) Se ha realizado un diagrama del proceso de diagnóstico de la avería."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","c) Se ha seleccionado la documentación técnica y se ha relacionado la simbología y los esquemas con los sistemas y elementos que hay que mantener."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","d) Se ha seleccionado el equipo de medida o control, efectuando la puesta en servicio del aparato."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","e) Se ha efectuado la conexión del equipo en los puntos de medida correctos realizando la toma de parámetros necesarios."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","f) Se ha extraído la información de las unidades de gestión electrónica."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","g) Se han comparado los valores obtenidos en las comprobaciones con los estipulados, determinando el elemento a sustituir o reparar."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","h) Se ha comprobado que no existen ruidos anómalos, tomas de aire o pérdidas de fluido."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","i) Se han determinado las causas que han provocado la avería."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","2. Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.","j) Se ha planificado de forma metódica la realización de las actividades en previsión de posibles dificultades."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","a) Se han interpretado, en la documentación técnica, los parámetros de los sistemas de calefacción, aire acondicionado y climatización."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","b) Se ha realizado un esquema de secuenciación lógica de las operaciones a realizar."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","c) Se han desmontado y montado componentes de los sistemas de calefacción, aire acondicionado y climatización."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","d) Se han regulado los parámetros de funcionamiento de estos sistemas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","e) Se ha determinado la cantidad de refrigerante y lubricante necesarias para recargar el circuito."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","f) Se ha realizado la recuperación y recarga del fluido refrigerante utilizando la estación de carga."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","g) Se ha añadido colorante en la recarga de fluido refrigerante, para detectar fugas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","3. Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.","h) Se han verificado las presiones de trabajo así como la temperatura de salida del aire."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","a) Se han localizado los componentes de los sistemas audiovisuales, de comunicación y de confort en un vehículo, utilizando documentación del fabricante."
